occupation,entry_level_education,annual_wage_2021,judgment_and_decision.l,active_learning.l,complex_problem_solving.l,critical_thinking.l,equipment_selection.l,troubleshooting.l,repairing.l,equipment_maintenance.l,glare_sensitivity.l,peripheral_vision.l,sound_localization.l,arm_hand_steadiness.l,finger_dexterity.l,control_precision.l,inductive_reasoning.l,deductive_reasoning.l,information_ordering.l,therapy_and_counseling.l,medicine_and_dentistry.l,psychology.l,biology.l,physics.l,engineering_and_technology.l,mechanical.l,building_and_construction.l,administration_and_management.l,economics_and_accounting.l,personnel_and_human_resources.l,administrative.l,history_and_archeology.l,fine_arts.l,philosophy_and_theology.l,sociology_and_anthropology.l
Nurse Midwives,Master's degree,112830,0.55,0.59,0.54,0.63,0,0.09,0,0,0,0,0,0.45,0.45,0.41,0.61,0.63,0.57,0.74,0.82,0.77,0.67,0.22,0.11,0.14,0,0.48,0.24,0.48,0.48,0.22,0,0.52,0.71
Nurse Practitioners,Master's degree,120680,0.59,0.59,0.59,0.59,0.11,0.16,0,0,0,0,0,0.43,0.41,0.39,0.7,0.63,0.57,0.81,0.8,0.81,0.72,0.27,0.27,0.17,0,0.55,0.25,0.34,0.41,0.16,0,0.51,0.65
Nursing Assistants,Postsecondary nondegree award,30310,0.36,0.39,0.32,0.45,0,0.13,0,0,0,0,0,0.43,0.39,0.32,0.43,0.43,0.43,0.42,0.36,0.5,0.24,0.2,0.22,0.26,0,0.4,0.23,0.32,0.33,0.16,0.12,0.32,0.4
"Nursing Instructors and Teachers, Postsecondary",Doctoral or professional degree,77440,0.55,0.57,0.57,0.61,0,0.14,0,0,0,0,0,0.41,0.36,0.25,0.57,0.57,0.55,0.67,0.66,0.78,0.64,0.16,0.16,0.12,0,0.48,0.14,0.51,0.61,0.26,0,0.51,0.7
Obstetricians and Gynecologists,Doctoral or professional degree,208000,0.63,0.59,0.57,0.64,0,0,0,0,0,0,0,0.54,0.52,0.43,0.73,0.68,0.55,0.73,0.94,0.73,0.82,0.42,0.38,0.29,0,0.51,0.43,0.57,0.46,0.21,0.15,0.46,0.46
Occupational Health and Safety Specialists,Bachelor's degree,77560,0.55,0.57,0.55,0.59,0.14,0.32,0,0,0.14,0.07,0.11,0.2,0.37,0.27,0.61,0.61,0.54,0.27,0.44,0.58,0.69,0.59,0.62,0.54,0.46,0.62,0.32,0.56,0.6,0.21,0,0.19,0.45
Occupational Health and Safety Technicians,High school diploma or equivalent,51120,0.46,0.46,0.46,0.55,0,0.23,0,0,0.09,0.07,0.14,0.27,0.36,0.18,0.55,0.55,0.46,0.31,0.38,0.54,0.65,0.56,0.6,0.58,0.48,0.59,0.38,0.57,0.67,0.16,0,0.24,0.38
Occupational Therapists,Master's degree,85570,0.55,0.55,0.54,0.57,0,0.14,0,0,0,0,0,0.41,0.43,0.3,0.57,0.57,0.57,0.85,0.64,0.85,0.51,0.27,0.25,0.26,0.08,0.52,0.19,0.34,0.59,0.1,0.17,0.47,0.54
Occupational Therapy Aides,High school diploma or equivalent,33560,0.41,0.43,0.41,0.48,0,0.16,0.11,0.11,0.07,0.09,0,0.39,0.43,0.3,0.43,0.45,0.43,0.58,0.43,0.65,0.26,0.22,0.22,0.15,0,0.35,0,0.17,0.56,0,0,0.37,0.3
Occupational Therapy Assistants,Associate's degree,61730,0.43,0.43,0.45,0.46,0,0.23,0,0,0,0,0,0.39,0.41,0.37,0.48,0.48,0.46,0.69,0.47,0.79,0.31,0.17,0.13,0,0,0.32,0.14,0.25,0.41,0.1,0.07,0.45,0.44
"Office Clerks, General",High school diploma or equivalent,37030,0.32,0.39,0.32,0.43,0,0.07,0,0,0,0,0,0.25,0.27,0.25,0.41,0.41,0.43,0,0.07,0.23,0,0.08,0.09,0,0,0.36,0.3,0.3,0.73,0,0,0.17,0.18
"Office Machine Operators, Except Computer",High school diploma or equivalent,36630,0.36,0.37,0.36,0.37,0.25,0.36,0.27,0.36,0,0,0,0.41,0.41,0.41,0.36,0.37,0.41,0,0,0.15,0,0.09,0.14,0.26,0,0.25,0.13,0.17,0.44,0,0,0,0
Online Merchants,Bachelor's degree,74670,0.46,0.45,0.43,0.55,0,0,0,0,0,0,0,0,0.32,0,0.48,0.52,0.46,0,0,0.22,0,0,0.27,0.28,0.21,0.58,0.53,0.44,0.69,0,0.18,0,0.15
Operating Engineers and Other Construction Equipment Operators,High school diploma or equivalent,48360,0.37,0.37,0.37,0.43,0.3,0.43,0.43,0.46,0.37,0.32,0.29,0.46,0.43,0.59,0.43,0.43,0.43,0,0,0,0,0.21,0.33,0.62,0.32,0.38,0,0.24,0,0,0,0,0
Operations Research Analysts,Bachelor's degree,82360,0.61,0.59,0.63,0.63,0,0.05,0,0,0,0,0,0,0.14,0,0.63,0.63,0.57,0,0,0.29,0.14,0.39,0.59,0.09,0,0.54,0.49,0.33,0.28,0.13,0,0,0.24
Ophthalmic Laboratory Technicians,High school diploma or equivalent,37270,0.37,0.36,0.36,0.41,0.36,0.3,0.36,0.29,0,0,0,0.59,0.54,0.61,0.36,0.43,0.43,0,0.2,0.14,0,0.14,0.35,0.49,0.11,0.3,0.17,0.18,0.31,0,0,0,0
Ophthalmic Medical Technicians,Postsecondary nondegree award,37180,0.41,0.45,0.34,0.45,0.36,0.25,0.18,0.29,0,0,0,0.48,0.46,0.43,0.43,0.43,0.43,0.29,0.52,0.46,0.33,0,0.2,0.27,0,0.32,0.12,0.35,0.41,0,0,0,0.18
Ophthalmic Medical Technologists,Postsecondary nondegree award,45720,0.45,0.43,0.41,0.52,0.18,0.21,0.05,0.11,0,0,0,0.48,0.41,0.43,0.54,0.46,0.43,0.26,0.54,0.47,0.43,0.2,0.1,0.33,0,0.38,0.16,0.38,0.58,0,0,0,0.19
"Ophthalmologists, Except Pediatric",Doctoral or professional degree,208000,0.57,0.63,0.61,0.7,0.16,0.2,0,0,0.16,0.14,0.11,0.64,0.61,0.61,0.79,0.71,0.59,0.63,0.92,0.66,0.74,0.47,0.38,0.37,0,0.52,0.38,0.57,0.46,0,0,0.37,0.27
"Opticians, Dispensing",High school diploma or equivalent,37570,0.41,0.41,0.41,0.52,0.09,0.25,0.11,0,0,0,0,0.48,0.46,0.39,0.45,0.46,0.41,0.11,0.32,0.32,0.18,0.24,0.27,0.41,0,0.56,0.44,0.47,0.58,0,0,0,0.15
Optometrists,Doctoral or professional degree,124300,0.55,0.55,0.55,0.61,0,0.27,0,0,0,0,0,0.52,0.55,0.54,0.7,0.68,0.57,0.65,0.77,0.59,0.71,0.51,0.31,0.24,0,0.61,0.48,0.53,0.62,0,0,0.27,0.35
Oral and Maxillofacial Surgeons,Doctoral or professional degree,208000,0.59,0.64,0.63,0.68,0.27,0.21,0.18,0.2,0,0,0,0.71,0.73,0.77,0.71,0.7,0.61,0.57,0.94,0.75,0.68,0.33,0.31,0.38,0.19,0.58,0.36,0.54,0.43,0.24,0,0.35,0.35
Order Clerks,"Some college, no degree",37920,0.39,0.43,0.37,0.52,0,0.05,0,0,0,0,0,0.25,0.3,0.16,0.43,0.43,0.43,0,0,0.19,0,0.1,0.28,0.2,0.16,0.46,0.36,0.32,0.64,0,0,0,0.12
Orderlies,High school diploma or equivalent,29990,0.23,0.27,0.23,0.3,0,0.23,0,0,0,0,0,0.32,0.34,0.34,0.36,0.39,0.34,0.09,0.2,0.26,0,0.09,0,0.11,0,0.25,0,0.13,0.14,0,0,0.12,0.18
Orthodontists,Doctoral or professional degree,208000,0.54,0.55,0.52,0.57,0.18,0.16,0,0,0,0,0,0.54,0.59,0.57,0.57,0.57,0.55,0.24,0.83,0.51,0.64,0.48,0.4,0.29,0,0.53,0.46,0.52,0.45,0,0,0.15,0.28
Orthoptists,Doctoral or professional degree,100300,0.55,0.55,0.54,0.57,0,0,0,0,0,0,0,0.43,0.48,0.41,0.68,0.63,0.52,0.47,0.54,0.59,0.46,0.34,0,0.2,0,0.33,0.1,0.36,0.49,0,0,0.21,0.31
Orthotists and Prosthetists,Master's degree,75440,0.52,0.61,0.55,0.59,0.32,0.29,0.16,0.14,0,0,0,0.48,0.52,0.45,0.61,0.63,0.55,0.61,0.59,0.62,0.46,0.53,0.66,0.61,0.35,0.6,0.42,0.48,0.62,0.16,0.19,0.22,0.29
Outdoor Power Equipment and Other Small Engine Mechanics,High school diploma or equivalent,37540,0.39,0.39,0.39,0.43,0.39,0.52,0.52,0.52,0.13,0.16,0.29,0.45,0.52,0.45,0.45,0.45,0.45,0.17,0.09,0.24,0,0.47,0.48,0.8,0.27,0.38,0.22,0.25,0.28,0,0,0,0.23
Packaging and Filling Machine Operators and Tenders,High school diploma or equivalent,35960,0.3,0.3,0.3,0.32,0.25,0.37,0.32,0.37,0.16,0.16,0.16,0.45,0.48,0.52,0.39,0.41,0.43,0.2,0.19,0.28,0,0.22,0.33,0.58,0.27,0.37,0.26,0.33,0.33,0,0,0.21,0.13
"Packers and Packagers, Hand",No formal educational credential,29940,0.27,0.14,0.25,0.29,0.09,0.11,0,0.05,0.07,0.13,0.07,0.32,0.37,0.32,0.29,0.3,0.3,0.13,0,0.24,0,0.15,0.28,0.37,0.22,0.25,0.17,0.21,0.28,0.09,0,0.09,0.15
"Painters, Construction and Maintenance",No formal educational credential,45590,0.34,0.32,0.3,0.43,0.16,0.2,0.11,0,0.21,0.14,0.16,0.43,0.43,0.43,0.41,0.41,0.43,0.23,0.12,0.33,0.22,0.33,0.34,0.45,0.54,0.51,0.3,0.33,0.36,0.16,0,0.19,0.19
"Painting, Coating, and Decorating Workers",No formal educational credential,37330,0.32,0.29,0.29,0.37,0.18,0.25,0.07,0.13,0.05,0,0,0.5,0.43,0.41,0.39,0.39,0.34,0,0,0.28,0.17,0.17,0,0.18,0,0.24,0,0,0.18,0,0,0,0
"Paper Goods Machine Setters, Operators, and Tenders",High school diploma or equivalent,44820,0.32,0.32,0.34,0.41,0.32,0.37,0.32,0.39,0.13,0.07,0.13,0.45,0.43,0.43,0.39,0.39,0.43,0,0,0.09,0,0.16,0.24,0.47,0,0.27,0.08,0.16,0.15,0,0,0,0
Paperhangers,No formal educational credential,47610,0.32,0.25,0.36,0.34,0.09,0.2,0,0,0.18,0.14,0.14,0.45,0.45,0.45,0.37,0.36,0.41,0,0.2,0.29,0,0.23,0.42,0.48,0.56,0.5,0.29,0.36,0.38,0,0,0,0
Paralegals and Legal Assistants,Associate's degree,56230,0.43,0.46,0.43,0.5,0,0,0,0,0,0,0,0.05,0.25,0.05,0.46,0.48,0.46,0.12,0.08,0.31,0,0,0,0,0,0.37,0.16,0.33,0.8,0,0,0,0.17
Park Naturalists,Bachelor's degree,63750,0.45,0.45,0.43,0.55,0.11,0.23,0.11,0.13,0.21,0.16,0.14,0.3,0.27,0.27,0.45,0.45,0.43,0.33,0.23,0.44,0.48,0,0.24,0.2,0.14,0.43,0.26,0.41,0.46,0.68,0.36,0.35,0.54
Parking Attendants,No formal educational credential,29240,0.34,0.25,0.3,0.39,0,0.13,0,0.13,0.27,0.34,0.25,0.3,0.36,0.41,0.36,0.36,0.36,0,0,0.21,0,0.1,0.15,0.18,0,0.21,0.23,0.2,0.27,0,0,0,0.12
Parking Enforcement Workers,High school diploma or equivalent,46590,0.32,0.34,0.34,0.43,0.16,0.29,0.14,0.23,0.29,0.23,0.25,0.3,0.32,0.39,0.39,0.43,0.43,0.37,0,0,0,0,0,0,0,0.37,0,0,0.36,0,0,0,0
Parts Salespersons,No formal educational credential,34260,0.43,0.43,0.43,0.45,0.29,0.27,0.29,0.2,0.09,0.13,0.13,0.37,0.37,0.32,0.41,0.45,0.43,0,0,0,0,0,0.16,0.54,0,0.42,0.25,0.31,0.35,0,0,0,0
Passenger Attendants,High school diploma or equivalent,30470,0.32,0.36,0.34,0.46,0,0.23,0,0,0.13,0.14,0.11,0.3,0.27,0.3,0.41,0.41,0.37,0.17,0.15,0.38,0,0,0,0.16,0,0.25,0,0.16,0.25,0,0,0.17,0.17
Patient Representatives,Postsecondary nondegree award,45720,0.46,0.5,0.45,0.54,0,0,0,0,0,0,0,0.21,0.27,0.05,0.45,0.45,0.43,0.42,0.46,0.59,0.17,0,0.19,0,0,0.51,0.35,0.39,0.52,0,0,0.43,0.5
"Patternmakers, Metal and Plastic",High school diploma or equivalent,48090,0.36,0.32,0.39,0.43,0.27,0.29,0.27,0.3,0.18,0.11,0.11,0.46,0.45,0.46,0.41,0.43,0.45,0,0,0,0,0.37,0.56,0.65,0,0.36,0.21,0,0.35,0,0,0,0
"Patternmakers, Wood",High school diploma or equivalent,46920,0.41,0.36,0.43,0.45,0.39,0.32,0.32,0.34,0.11,0.2,0.18,0.55,0.52,0.57,0.43,0.43,0.45,0,0,0,0,0.25,0.61,0.63,0.51,0.56,0.3,0.37,0.33,0,0,0,0
"Paving, Surfacing, and Tamping Equipment Operators",High school diploma or equivalent,46960,0.36,0.3,0.36,0.41,0.3,0.41,0.43,0.43,0.34,0.32,0.21,0.43,0.43,0.55,0.36,0.39,0.43,0,0.15,0.28,0,0.43,0.42,0.54,0.79,0.33,0,0.25,0,0,0,0,0
Payroll and Timekeeping Clerks,High school diploma or equivalent,47610,0.43,0.41,0.41,0.45,0,0,0,0,0,0,0,0.09,0.25,0.07,0.43,0.43,0.43,0,0,0.25,0,0,0,0,0,0.37,0.4,0.44,0.77,0,0,0,0.16
"Pediatricians, General",Doctoral or professional degree,170480,0.63,0.59,0.59,0.64,0,0.11,0,0,0,0,0,0.39,0.37,0.3,0.75,0.64,0.57,0.86,0.81,0.77,0.59,0.22,0.17,0.19,0,0.49,0.35,0.61,0.42,0.13,0,0.37,0.49
Personal Care Aides,High school diploma or equivalent,29430,0.36,0.39,0.34,0.43,0,0.13,0,0,0,0,0,0.36,0.34,0.2,0.43,0.43,0.41,0.3,0.24,0.48,0.12,0,0,0.14,0,0.29,0,0.15,0.24,0.09,0,0.25,0.24
Personal Financial Advisors,Bachelor's degree,94170,0.55,0.46,0.55,0.59,0,0,0,0,0,0,0,0,0.21,0,0.57,0.66,0.48,0.42,0,0.61,0,0,0.09,0,0,0.48,0.64,0.47,0.49,0.2,0,0.21,0.37
Pest Control Workers,High school diploma or equivalent,37540,0.41,0.41,0.43,0.48,0.27,0.29,0.27,0.27,0.29,0.29,0.27,0.41,0.39,0.43,0.43,0.43,0.43,0,0,0.25,0.43,0.2,0.18,0.34,0.28,0.34,0.22,0.2,0.32,0,0,0.15,0
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",High school diploma or equivalent,38270,0.41,0.34,0.41,0.41,0.27,0.3,0.27,0.32,0.2,0.18,0.18,0.37,0.43,0.43,0.41,0.43,0.43,0,0.12,0.15,0.56,0.37,0.28,0.41,0,0.48,0.24,0.32,0.31,0,0,0,0.09
Petroleum Engineers,Bachelor's degree,130850,0.55,0.55,0.59,0.63,0.14,0.29,0,0,0,0,0,0,0.21,0.18,0.57,0.57,0.57,0,0,0.16,0.24,0.65,0.75,0.47,0.16,0.59,0.5,0.35,0.54,0,0,0,0
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",High school diploma or equivalent,79540,0.46,0.46,0.46,0.54,0.32,0.41,0.37,0.41,0.32,0.27,0.27,0.43,0.41,0.48,0.54,0.54,0.5,0,0,0.12,0.13,0.31,0.42,0.61,0,0.31,0,0.23,0.29,0,0,0,0
Pharmacists,Doctoral or professional degree,128570,0.54,0.55,0.5,0.63,0,0.16,0,0,0,0,0,0.39,0.43,0.3,0.59,0.57,0.55,0.54,0.65,0.67,0.58,0.16,0.11,0.09,0,0.49,0.28,0.37,0.57,0,0,0.19,0.22
Pharmacy Aides,High school diploma or equivalent,29930,0.32,0.36,0.34,0.41,0.05,0.13,0,0.07,0,0,0,0.32,0.41,0.2,0.39,0.43,0.39,0.23,0.35,0.24,0,0,0,0.19,0,0.3,0.17,0.11,0.4,0,0,0,0
Pharmacy Technicians,High school diploma or equivalent,36740,0.43,0.45,0.41,0.52,0,0.11,0,0,0,0,0,0.43,0.43,0.29,0.43,0.46,0.46,0.3,0.46,0.37,0.26,0.11,0.11,0.11,0,0.41,0.21,0.26,0.55,0,0,0.16,0.18
"Philosophy and Religion Teachers, Postsecondary",Doctoral or professional degree,77610,0.52,0.63,0.54,0.61,0,0,0,0,0,0,0,0,0.09,0,0.61,0.59,0.46,0.24,0,0.47,0.1,0,0,0,0,0.25,0.1,0.4,0.38,0.58,0.25,0.96,0.61
Phlebotomists,Postsecondary nondegree award,37380,0.37,0.43,0.34,0.46,0.14,0.23,0.09,0.11,0,0,0,0.55,0.48,0.3,0.43,0.46,0.46,0.27,0.44,0.61,0.42,0.21,0.22,0.22,0.23,0.46,0.27,0.43,0.56,0,0,0.22,0.4
Photographers,High school diploma or equivalent,38950,0.43,0.45,0.43,0.46,0.32,0.25,0.11,0.14,0.2,0.11,0,0.43,0.41,0.41,0.43,0.54,0.43,0.16,0,0.51,0,0.21,0.34,0.31,0.16,0.59,0.45,0.5,0.62,0.14,0.56,0.25,0.25
Photographic Process Workers and Processing Machine Operators,High school diploma or equivalent,36590,0.39,0.41,0.39,0.45,0.37,0.36,0.32,0.36,0,0,0,0.41,0.41,0.41,0.45,0.45,0.45,0,0,0,0,0,0.19,0.42,0,0.31,0.17,0.19,0.25,0,0.21,0,0
Photonics Engineers,Bachelor's degree,100640,0.57,0.71,0.57,0.68,0.5,0.46,0.43,0.32,0.2,0,0,0.43,0.43,0.45,0.64,0.73,0.63,0,0.12,0,0.19,0.83,0.93,0.58,0.12,0.42,0.22,0.21,0.35,0,0,0,0
Photonics Technicians,Postsecondary nondegree award,61950,0.43,0.46,0.5,0.52,0.46,0.5,0.43,0.45,0,0,0,0.48,0.55,0.5,0.41,0.48,0.48,0,0,0.14,0.15,0.59,0.69,0.66,0.27,0.37,0.16,0.23,0.46,0,0,0,0
Physical Medicine and Rehabilitation Physicians,Doctoral or professional degree,208000,0.61,0.61,0.59,0.66,0,0.18,0,0,0,0,0,0.41,0.39,0.32,0.71,0.66,0.63,0.86,0.9,0.79,0.76,0.51,0.43,0.43,0,0.59,0.35,0.58,0.52,0.19,0.14,0.53,0.63
Physical Therapist Aides,High school diploma or equivalent,29200,0.3,0.39,0.39,0.41,0,0.27,0,0.13,0,0,0,0.41,0.39,0.3,0.43,0.43,0.43,0.55,0.45,0.56,0.27,0.18,0.13,0.17,0,0.28,0.14,0.21,0.46,0.09,0.1,0.26,0.3
Physical Therapist Assistants,Associate's degree,61180,0.43,0.45,0.43,0.55,0.23,0.3,0.14,0.13,0,0,0,0.43,0.41,0.32,0.46,0.52,0.45,0.54,0.5,0.75,0.54,0.29,0,0.14,0,0.42,0.2,0.2,0.48,0,0,0,0.26
Physical Therapists,Doctoral or professional degree,95620,0.55,0.46,0.48,0.55,0.13,0.25,0.09,0.09,0,0,0,0.43,0.43,0.37,0.59,0.59,0.55,0.74,0.66,0.74,0.5,0.45,0.17,0.24,0,0.46,0.29,0.4,0.55,0,0,0.32,0.48
Physician Assistants,Master's degree,121530,0.59,0.59,0.57,0.66,0,0.16,0,0,0,0,0,0.43,0.43,0.29,0.7,0.63,0.57,0.85,0.92,0.86,0.81,0.34,0.19,0.17,0,0.48,0.21,0.41,0.57,0.1,0,0.45,0.61
"Physicians, Pathologists",Doctoral or professional degree,208000,0.68,0.68,0.66,0.66,0.11,0.18,0,0,0,0,0,0.46,0.48,0.39,0.84,0.73,0.59,0.24,0.85,0.36,0.85,0.3,0.22,0.16,0,0.54,0.29,0.39,0.46,0.09,0,0.16,0.19
Physicists,Doctoral or professional degree,152430,0.64,0.79,0.7,0.7,0.21,0.29,0,0,0,0,0,0,0.29,0,0.79,0.79,0.71,0.21,0,0.28,0.16,0.97,0.86,0.28,0.15,0.54,0.26,0.38,0.4,0,0,0,0
"Physics Teachers, Postsecondary",Doctoral or professional degree,93070,0.55,0.63,0.57,0.7,0.14,0.21,0.2,0.18,0,0,0,0.21,0.27,0.13,0.63,0.63,0.55,0.23,0.16,0.33,0.32,0.81,0.57,0.48,0.26,0.39,0,0.31,0.44,0.28,0,0.29,0.21
Pile Driver Operators,High school diploma or equivalent,76260,0.36,0.29,0.32,0.43,0.27,0.43,0.41,0.45,0.41,0.39,0.25,0.41,0.41,0.57,0.39,0.41,0.39,0.12,0.11,0.29,0,0.41,0.61,0.68,0.77,0.45,0.14,0.18,0.22,0,0,0,0.05
Pipelayers,No formal educational credential,45980,0.36,0.3,0.34,0.43,0.29,0.43,0.39,0.32,0.23,0.23,0.21,0.45,0.43,0.46,0.41,0.41,0.43,0.21,0.21,0.31,0.24,0.39,0.45,0.69,0.68,0.42,0.1,0.18,0.14,0,0,0,0.16
Plasterers and Stucco Masons,No formal educational credential,48340,0.36,0.3,0.32,0.37,0.23,0.27,0.13,0.09,0.29,0.21,0.2,0.43,0.43,0.45,0.39,0.39,0.41,0,0.17,0.17,0,0.15,0.18,0.37,0.61,0.49,0.16,0.27,0.2,0,0,0,0.1
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",High school diploma or equivalent,37200,0.3,0.3,0.32,0.39,0.29,0.32,0.3,0.34,0.13,0.09,0.11,0.45,0.43,0.46,0.43,0.43,0.43,0.06,0,0,0,0.45,0.46,0.46,0,0.46,0,0.37,0.28,0,0,0,0
"Plumbers, Pipefitters, and Steamfitters",High school diploma or equivalent,59880,0.43,0.43,0.45,0.48,0.29,0.41,0.45,0.42,0.27,0.24,0.21,0.49,0.48,0.48,0.46,0.45,0.46,0,0.11,0.21,0.15,0.46,0.56,0.75,0.71,0.3,0.14,0.27,0.25,0,0,0,0
Podiatrists,Doctoral or professional degree,145840,0.59,0.68,0.57,0.61,0.23,0.29,0,0,0,0,0,0.43,0.45,0.45,0.73,0.68,0.52,0.59,0.82,0.5,0.54,0.35,0.22,0.27,0.14,0.56,0.41,0.54,0.62,0.15,0.08,0.27,0.28
"Poets, Lyricists and Creative Writers",Bachelor's degree,69510,0.48,0.55,0.48,0.55,0.07,0,0,0,0,0,0,0.27,0.37,0.18,0.52,0.54,0.52,0.15,0,0.53,0.12,0,0,0,0,0.32,0.16,0,0.53,0.4,0.52,0.41,0.5
Police and Sheriff's Patrol Officers,High school diploma or equivalent,64610,0.51,0.46,0.49,0.56,0,0.14,0,0,0.35,0.34,0.36,0.43,0.4,0.42,0.57,0.57,0.5,0.48,0.27,0.73,0.15,0.22,0.21,0.21,0,0.49,0.2,0.48,0.54,0.13,0,0.36,0.38
Police Identification and Records Officers,High school diploma or equivalent,83640,0.45,0.46,0.45,0.57,0,0.11,0,0,0.21,0.2,0.11,0.43,0.41,0.37,0.57,0.57,0.55,0,0.21,0.41,0.39,0.42,0.26,0.29,0,0.41,0,0.31,0.57,0.28,0,0.15,0.32
"Political Science Teachers, Postsecondary",Doctoral or professional degree,81980,0.54,0.57,0.57,0.59,0,0,0,0,0,0,0,0,0,0,0.55,0.55,0.45,0.24,0,0.49,0,0,0,0,0,0.53,0.23,0.52,0.44,0.69,0,0.64,0.73
Political Scientists,Master's degree,122510,0.54,0.55,0.55,0.64,0,0,0,0,0,0,0,0,0.07,0,0.57,0.59,0.5,0.15,0,0.48,0,0,0,0,0,0.45,0.24,0.35,0.38,0.65,0,0.6,0.71
Postal Service Clerks,High school diploma or equivalent,52290,0.3,0.29,0.36,0.46,0,0.21,0,0,0,0,0,0.39,0.41,0.3,0.43,0.43,0.41,0.17,0.08,0.26,0,0.15,0.19,0.23,0,0.42,0.3,0.29,0.51,0,0,0.2,0.21
Postal Service Mail Carriers,High school diploma or equivalent,52440,0.3,0.29,0.3,0.39,0,0,0,0,0.27,0.21,0.21,0.41,0.41,0.43,0.39,0.39,0.41,0,0,0.3,0,0,0,0.17,0,0.37,0.12,0.28,0.34,0,0,0,0.13
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",High school diploma or equivalent,48550,0.3,0.29,0.29,0.37,0,0.23,0.05,0.09,0,0,0,0.36,0.43,0.41,0.36,0.36,0.37,0.07,0,0,0,0,0,0,0,0.25,0.11,0.09,0.29,0,0,0,0
Postmasters and Mail Superintendents,High school diploma or equivalent,80250,0.45,0.45,0.45,0.55,0,0.21,0,0,0,0,0,0.05,0.23,0.07,0.45,0.46,0.45,0.29,0.14,0.49,0,0.11,0.32,0.39,0.17,0.66,0.41,0.55,0.65,0.12,0,0.19,0.22
"Potters, Manufacturing",High school diploma or equivalent,37500,0.37,0.3,0.3,0.45,0.11,0.23,0.09,0.09,0.09,0.14,0.07,0.57,0.54,0.57,0.43,0.45,0.45,0,0.09,0.29,0,0.2,0.43,0.46,0,0.57,0.32,0.18,0.38,0.21,0.73,0.19,0.1
"Pourers and Casters, Metal",High school diploma or equivalent,45850,0.43,0.3,0.3,0.43,0.3,0.39,0.32,0.39,0.27,0.23,0.2,0.45,0.43,0.46,0.39,0.41,0.41,0,0,0,0,0.31,0.26,0.54,0.25,0.28,0.22,0.25,0.33,0,0,0,0
Power Distributors and Dispatchers,High school diploma or equivalent,98530,0.46,0.43,0.45,0.54,0.16,0.36,0.2,0.2,0.13,0.05,0.11,0.29,0.39,0.34,0.54,0.57,0.48,0.12,0,0.27,0,0.45,0.57,0.53,0.3,0.36,0.16,0.18,0.39,0,0,0,0
Power Plant Operators,High school diploma or equivalent,80850,0.45,0.43,0.43,0.52,0.32,0.45,0.45,0.43,0.18,0.11,0.27,0.43,0.45,0.45,0.48,0.5,0.46,0,0,0.11,0.12,0.42,0.32,0.48,0,0.3,0.13,0.23,0.32,0,0,0,0
Precision Agriculture Technicians,Bachelor's degree,40430,0.5,0.54,0.46,0.52,0.3,0.34,0.34,0.34,0.21,0.16,0.11,0.36,0.43,0.45,0.57,0.59,0.55,0,0,0.26,0.56,0.42,0.5,0.56,0.17,0.54,0.35,0.4,0.49,0.12,0,0,0.12
Prepress Technicians and Workers,Postsecondary nondegree award,42610,0.41,0.43,0.41,0.43,0.25,0.3,0.25,0.27,0,0,0,0.43,0.39,0.43,0.43,0.43,0.43,0,0,0.12,0,0,0.29,0.3,0,0.41,0.12,0.18,0.53,0,0.28,0,0
"Preschool Teachers, Except Special Education",Associate's degree,30210,0.43,0.43,0.43,0.45,0.05,0.11,0,0,0,0,0.05,0.29,0.29,0.11,0.43,0.43,0.41,0.34,0.26,0.41,0.16,0,0,0.1,0,0.33,0,0.25,0.38,0.23,0.28,0.31,0.35
"Pressers, Textile, Garment, and Related Materials",No formal educational credential,28680,0.3,0.21,0.25,0.32,0.16,0.25,0.14,0.2,0,0,0,0.48,0.45,0.45,0.3,0.3,0.3,0.14,0,0,0,0,0,0.25,0,0.31,0.12,0.24,0,0.08,0,0,0
Preventive Medicine Physicians,Doctoral or professional degree,208000,0.68,0.7,0.7,0.71,0,0,0,0,0,0,0,0.05,0.23,0.07,0.8,0.71,0.59,0.67,0.86,0.74,0.78,0.3,0.26,0.14,0.15,0.69,0.42,0.59,0.42,0.3,0.1,0.44,0.59
Print Binding and Finishing Workers,High school diploma or equivalent,36590,0.39,0.34,0.41,0.43,0.32,0.39,0.39,0.45,0.18,0.2,0.25,0.46,0.46,0.46,0.41,0.41,0.46,0,0,0.19,0,0.13,0.22,0.46,0,0.43,0.16,0.28,0.34,0,0,0,0
Printing Press Operators,High school diploma or equivalent,37770,0.41,0.41,0.41,0.45,0.36,0.45,0.45,0.45,0,0,0,0.45,0.5,0.55,0.43,0.45,0.45,0,0,0,0,0.08,0.24,0.61,0,0.29,0,0.1,0.15,0,0,0,0
Private Detectives and Investigators,High school diploma or equivalent,59380,0.48,0.48,0.43,0.59,0,0.05,0,0,0.16,0.13,0.11,0.25,0.32,0.36,0.59,0.57,0.48,0.16,0.18,0.53,0,0,0.12,0,0,0.51,0.31,0.39,0.64,0.15,0,0.3,0.33
