"occupation","active_listening","pure_mathematics","reading_comprehension","natural_science","speaking","writing","active_learning","critical_thinking","learning_strategies","monitoring","complex_problem_solving","management_of_financial_resources","management_of_material_resources","management_of_personal_resources","time_management","coordination","instructing","negotiation","persuasion","service_orientation","social_perceptiveness","judgment_and_decision","systems_analysis","systems_evaluation","installation","quality_control_analysis","technology_design","equipment_selection","equipment_maintenance","programming","troubleshooting","operations_monitoring","repairing","operation_and_control","operations_analysis","multitasking","selective_attention","problem_sensitivity","fluency_of_ideas","originality","deductive_reasoning","inductive_reasoning","category_flexibility","information_ordering","perceptual_speed","flexibility_of_closure","speed_of_closure","number_facility","mathematical_reasoning","spatial_orientation","visualization","written_expression","oral_expression","oral_comprehension","written_comprehension","memorization","dynamic_flexibility","gross_body_equilibrium","extent_flexibility","gross_body_coordination","explosive_strength","static_strength","dynamic_strength","trunk_strength","stamina","response_orientation","control_precision","multilimb_coordination","rate_control","arm_hand_steadiness","finger_dexterity","manual_dexterity","speed_of_limb_movement","wrist_finger_speed","reaction_time","speech_clarity","auditory_attention","speech_recognition","sound_localization","hearing_sensitivity","far_vision","glare_sensitivity","night_vision","depth_perception","visual_color_discrimination","peripheral_vision","near_vision","native_language","history_and_archeology","foreign_language","philosophy_and_theology","fine_arts","administration_and_management","economics_and_accounting","customer_and_personal_service","personnel_and_human_resources","administrative","sales_and_marketing","communications_and_media","telecommunications","building_and_construction","engineering_and_technology","mechanical","industrial_design","computers_and_electronics","education_and_training","therapy_and_counseling","medicine_and_dentistry","public_safety_and_security","law_and_government","food_production","production_and_processing","geography","chemistry","applied_mathematics","physics","sociology_and_anthropology","biology","psychology","transportation"
"Mail Clerks and Mail Machine Operators, Except Postal Service",0.39,0.29,0.37,0,0.39,0.39,0.3,0.41,0.29,0.41,0.27,0.13,0.11,0.23,0.37,0.41,0.27,0.16,0.21,0.27,0.37,0.37,0.27,0.2,0,0.3,0,0.13,0.14,0.07,0.2,0.36,0.13,0.41,0,0.3,0.37,0.43,0.29,0.29,0.39,0.39,0.39,0.41,0.39,0.3,0.3,0.25,0.23,0.14,0.3,0.39,0.43,0.43,0.43,0.29,0.07,0.21,0.34,0.29,0.16,0.39,0.29,0.37,0.3,0.21,0.34,0.36,0.29,0.39,0.45,0.43,0.14,0.27,0.32,0.39,0.29,0.41,0,0.27,0.36,0,0,0.23,0.3,0.11,0.45,0.42,0,0,0,0,0,0,0.59,0,0.4,0.14,0,0,0,0,0,0,0.36,0.35,0,0,0.25,0.28,0,0,0.13,0,0.32,0,0,0,0,0.19
"Maintenance Workers, Machinery",0.43,0.23,0.41,0.11,0.39,0.32,0.3,0.43,0.27,0.39,0.41,0.11,0.14,0.27,0.34,0.43,0.3,0.3,0.3,0.3,0.3,0.34,0.3,0.29,0.32,0.45,0.16,0.39,0.55,0.11,0.46,0.52,0.54,0.46,0.25,0.36,0.43,0.43,0.32,0.3,0.43,0.43,0.41,0.43,0.43,0.43,0.29,0.29,0.3,0.23,0.45,0.39,0.45,0.48,0.43,0.3,0,0.32,0.43,0.3,0.2,0.43,0.32,0.43,0.29,0.27,0.46,0.43,0.37,0.46,0.45,0.45,0.21,0.29,0.43,0.32,0.41,0.39,0.27,0.34,0.41,0.2,0.16,0.37,0.41,0.16,0.46,0.44,0,0.08,0.14,0,0.4,0.16,0.3,0.24,0.27,0,0.21,0.24,0.47,0.53,0.76,0.47,0.41,0.46,0.15,0.17,0.43,0.24,0.15,0.43,0.17,0.39,0.48,0.42,0.17,0.16,0.3,0.28
"Maintenance and Repair Workers, General",0.43,0.32,0.45,0.16,0.43,0.41,0.45,0.45,0.34,0.45,0.43,0.18,0.21,0.32,0.41,0.43,0.34,0.34,0.32,0.32,0.37,0.41,0.32,0.32,0.45,0.46,0.27,0.43,0.55,0.07,0.54,0.45,0.55,0.45,0.3,0.32,0.43,0.46,0.34,0.34,0.46,0.46,0.43,0.54,0.43,0.45,0.37,0.32,0.32,0.27,0.54,0.43,0.46,0.54,0.45,0.32,0.14,0.34,0.54,0.41,0.21,0.45,0.3,0.45,0.36,0.32,0.46,0.52,0.29,0.46,0.48,0.48,0.25,0.29,0.34,0.43,0.43,0.43,0.2,0.43,0.43,0.27,0.18,0.41,0.46,0.18,0.52,0.49,0,0,0,0,0.27,0.14,0.44,0.17,0.21,0.11,0.21,0.19,0.63,0.36,0.62,0.37,0.3,0.31,0,0,0.37,0.21,0,0.47,0,0.27,0.42,0.24,0,0,0.17,0.27
"Makeup Artists, Theatrical and Performance",0.46,0.3,0.46,0.09,0.45,0.39,0.46,0.46,0.36,0.45,0.39,0.39,0.36,0.32,0.41,0.45,0.39,0.34,0.37,0.41,0.43,0.43,0.34,0.32,0,0.32,0.13,0.09,0,0,0.09,0.21,0,0,0.37,0.29,0.45,0.45,0.52,0.55,0.46,0.43,0.48,0.46,0.41,0.39,0.39,0.32,0.29,0,0.55,0.43,0.55,0.57,0.43,0.3,0,0.13,0.34,0.23,0,0.29,0.27,0.36,0.23,0,0.3,0.36,0,0.55,0.48,0.54,0.16,0.2,0,0.41,0.3,0.46,0,0.21,0.46,0.21,0,0.29,0.61,0,0.57,0.5,0.2,0.11,0.17,0.5,0.48,0.21,0.57,0.29,0.3,0.42,0.44,0.11,0,0.14,0.2,0.45,0.33,0.4,0.15,0.19,0.27,0.22,0,0.32,0.12,0.42,0.17,0.06,0.29,0.2,0.38,0.23
"Management Analysts",0.59,0.46,0.59,0.27,0.57,0.57,0.54,0.59,0.5,0.57,0.57,0.14,0.27,0.43,0.45,0.52,0.48,0.43,0.5,0.43,0.54,0.59,0.57,0.57,0,0.09,0.09,0,0,0.13,0,0.09,0,0,0.59,0.36,0.39,0.59,0.54,0.5,0.61,0.59,0.5,0.57,0.32,0.36,0.39,0.45,0.43,0,0.36,0.61,0.68,0.63,0.61,0.34,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0.16,0,0,0.11,0,0.52,0.14,0.5,0,0.14,0.36,0,0,0.05,0.11,0,0.52,0.71,0.25,0.2,0.36,0,0.75,0.54,0.76,0.73,0.59,0.72,0.57,0.2,0,0.42,0.18,0.38,0.46,0.81,0.37,0,0.37,0.49,0,0.61,0.26,0,0.59,0,0.65,0.14,0.63,0.23
"Manicurists and Pedicurists",0.39,0.18,0.3,0,0.37,0.27,0.32,0.36,0.27,0.3,0.29,0.05,0.07,0.27,0.3,0.32,0.29,0.3,0.3,0.37,0.37,0.3,0.25,0.25,0,0.2,0.13,0.09,0,0,0.05,0.13,0,0,0.07,0.29,0.32,0.36,0.29,0.3,0.34,0.32,0.36,0.3,0.29,0.29,0.25,0.16,0.05,0,0.29,0.25,0.39,0.39,0.32,0.13,0,0,0,0,0,0.07,0.13,0.13,0,0,0.32,0.21,0,0.45,0.43,0.34,0,0.09,0,0.39,0.25,0.43,0,0.25,0.3,0,0,0.18,0.32,0,0.45,0.43,0,0,0,0,0.33,0,0.5,0.35,0,0.36,0.14,0,0,0.13,0.21,0.21,0.28,0.3,0.18,0.2,0.29,0,0,0.32,0.2,0.31,0.35,0,0.32,0.26,0.34,0.16
"Manufactured Building and Mobile Home Installers",0.41,0.41,0.45,0.13,0.41,0.41,0.43,0.46,0.45,0.48,0.46,0.3,0.34,0.45,0.45,0.52,0.45,0.39,0.43,0.39,0.39,0.43,0.37,0.41,0,0.52,0.21,0.37,0.37,0,0.46,0.45,0.48,0.46,0.29,0.45,0.46,0.46,0.41,0.41,0.52,0.46,0.43,0.5,0.43,0.46,0.38,0.38,0.32,0.41,0.61,0.38,0.54,0.55,0.46,0.43,0,0.45,0.55,0.5,0,0.57,0,0.54,0.46,0.52,0.52,0.59,0.43,0.48,0.5,0.5,0.45,0.48,0.57,0.41,0.43,0.45,0.27,0.41,0.5,0.34,0.27,0.52,0.52,0.32,0.52,0.48,0,0,0,0,0.46,0,0.61,0.42,0,0.35,0,0.3,0.74,0.59,0.64,0.69,0,0.52,0.32,0.29,0.69,0.54,0,0.44,0.34,0.39,0.53,0.43,0,0,0.38,0.63
"Manufacturing Engineers",0.59,0.64,0.68,0.54,0.59,0.63,0.64,0.57,0.55,0.66,0.61,0.52,0.5,0.55,0.55,0.52,0.54,0.45,0.52,0.41,0.5,0.66,0.66,0.64,0.43,0.55,0.57,0.52,0.45,0.36,0.52,0.55,0.43,0.46,0.55,0.36,0.54,0.63,0.59,0.59,0.7,0.63,0.63,0.59,0.54,0.57,0.52,0.64,0.66,0.14,0.57,0.63,0.68,0.7,0.7,0.45,0,0.13,0.25,0.2,0.09,0.27,0.18,0.32,0.16,0.21,0.36,0.32,0.2,0.36,0.34,0.32,0,0.29,0.36,0.52,0.43,0.52,0,0.41,0.54,0,0,0.36,0.48,0,0.55,0.63,0,0.21,0.18,0,0.62,0.37,0.41,0.47,0.53,0.37,0.37,0.26,0.43,0.76,0.74,0.7,0.68,0.61,0.23,0,0.49,0.44,0,0.7,0.22,0.47,0.73,0.62,0.17,0.23,0.4,0.44
"Marine Engineers and Naval Architects",0.57,0.69,0.68,0.62,0.57,0.57,0.63,0.63,0.43,0.57,0.6,0.37,0.35,0.46,0.5,0.51,0.47,0.45,0.47,0.42,0.45,0.62,0.54,0.53,0,0.54,0.44,0,0,0.26,0.47,0.48,0,0,0.63,0.37,0.45,0.62,0.58,0.58,0.71,0.63,0.61,0.65,0.46,0.44,0.42,0.62,0.64,0.22,0.63,0.62,0.69,0.69,0.71,0.34,0,0,0.25,0,0,0,0.19,0.32,0,0,0.24,0.25,0,0.32,0.33,0.22,0,0.19,0.27,0.46,0.36,0.5,0,0.3,0.53,0.21,0,0.35,0.43,0,0.58,0.61,0,0.18,0,0,0.59,0.4,0.54,0.46,0.46,0.45,0.29,0.24,0.56,0.87,0.69,0.8,0.61,0.46,0,0,0.45,0.42,0,0.45,0.38,0.54,0.78,0.78,0,0.22,0.28,0.54
"Market Research Analysts and Marketing Specialists",0.57,0.48,0.66,0.32,0.57,0.59,0.57,0.57,0.43,0.52,0.54,0.23,0.2,0.41,0.45,0.45,0.43,0.39,0.46,0.41,0.48,0.59,0.55,0.55,0,0.13,0.11,0,0,0.29,0,0.2,0,0,0.45,0.32,0.41,0.55,0.57,0.48,0.63,0.61,0.54,0.55,0.41,0.46,0.39,0.54,0.55,0,0.37,0.64,0.64,0.64,0.64,0.39,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0.25,0,0,0,0,0.52,0.25,0.54,0,0.23,0.39,0,0,0.11,0.25,0,0.55,0.76,0.26,0.16,0.33,0,0.66,0.5,0.8,0.46,0.63,0.76,0.63,0.23,0,0.25,0,0.25,0.64,0.5,0,0,0.16,0.39,0,0.29,0.5,0,0.73,0,0.61,0,0.53,0.14
"Marketing Managers",0.59,0.45,0.61,0.21,0.59,0.55,0.59,0.61,0.5,0.61,0.55,0.54,0.39,0.55,0.54,0.54,0.5,0.55,0.63,0.46,0.57,0.57,0.54,0.54,0,0.2,0.13,0,0,0.18,0,0.18,0,0,0.52,0.37,0.41,0.55,0.61,0.57,0.63,0.55,0.52,0.5,0.41,0.43,0.43,0.5,0.52,0,0.43,0.59,0.59,0.63,0.59,0.43,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0.18,0,0,0.11,0,0.55,0.23,0.55,0,0.21,0.46,0,0,0.11,0.41,0,0.54,0.72,0.16,0.19,0.16,0.19,0.66,0.51,0.69,0.51,0.59,0.86,0.6,0.37,0,0.35,0,0.51,0.58,0.59,0.16,0,0.32,0.42,0,0.42,0.36,0,0.63,0,0.35,0,0.41,0.22
"Marriage and Family Therapists",0.71,0.25,0.61,0.41,0.61,0.61,0.61,0.61,0.54,0.57,0.59,0.05,0,0.43,0.45,0.5,0.52,0.54,0.54,0.61,0.82,0.61,0.54,0.55,0,0,0.07,0,0,0,0,0.07,0,0,0.43,0.41,0.45,0.64,0.59,0.5,0.59,0.63,0.5,0.54,0.36,0.43,0.5,0.27,0.27,0,0.3,0.59,0.7,0.64,0.63,0.41,0,0.05,0,0.05,0.05,0.05,0,0.14,0,0,0,0,0,0,0.14,0,0,0.09,0.05,0.59,0.27,0.57,0,0.21,0.39,0,0,0,0.21,0,0.52,0.56,0.22,0.1,0.58,0.13,0.28,0,0.82,0.13,0.58,0.19,0.31,0.16,0,0,0,0,0.43,0.51,0.97,0.33,0.28,0.46,0,0,0.18,0,0.2,0,0.61,0.17,0.91,0.17
"Massage Therapists",0.46,0.21,0.45,0.14,0.52,0.41,0.43,0.46,0.41,0.43,0.39,0.07,0.13,0.13,0.34,0.27,0.32,0.25,0.23,0.45,0.46,0.41,0.3,0.34,0,0.14,0.16,0,0,0,0.05,0.07,0,0,0.18,0.32,0.43,0.48,0.39,0.41,0.45,0.43,0.39,0.43,0.27,0.32,0.3,0.16,0.16,0,0.27,0.43,0.52,0.55,0.45,0.29,0.14,0.27,0.45,0.21,0.13,0.43,0.5,0.48,0.45,0,0.27,0.45,0,0.45,0.46,0.45,0.09,0.29,0,0.45,0.14,0.43,0,0.13,0.29,0,0,0.16,0.18,0,0.43,0.42,0,0.15,0.31,0,0.4,0.35,0.75,0.28,0.46,0.49,0.3,0.07,0,0.12,0.1,0,0.31,0.46,0.36,0.39,0.37,0.33,0,0,0,0.2,0.15,0.16,0.33,0.41,0.55,0
"Materials Engineers",0.59,0.57,0.68,0.68,0.59,0.63,0.64,0.61,0.52,0.55,0.57,0.37,0.39,0.45,0.45,0.46,0.55,0.45,0.45,0.43,0.45,0.55,0.54,0.5,0,0.52,0.41,0.27,0.13,0.25,0.29,0.45,0.14,0.29,0.57,0.3,0.43,0.61,0.55,0.57,0.68,0.61,0.68,0.55,0.45,0.46,0.39,0.54,0.66,0,0.55,0.7,0.68,0.68,0.7,0.32,0,0,0.13,0,0,0,0,0.09,0,0.07,0.34,0.11,0.16,0.3,0.32,0.3,0,0.2,0.27,0.5,0.3,0.45,0,0.29,0.45,0,0,0.29,0.45,0,0.54,0.69,0.12,0.29,0.17,0,0.59,0.36,0.54,0.46,0.47,0.44,0.38,0.2,0.35,0.78,0.63,0.7,0.66,0.61,0,0.2,0.36,0.37,0,0.69,0.24,0.83,0.76,0.78,0,0.29,0.22,0.24
"Materials Scientists",0.59,0.57,0.7,0.71,0.61,0.61,0.57,0.59,0.48,0.59,0.59,0.21,0.27,0.37,0.41,0.43,0.46,0.39,0.43,0.41,0.45,0.55,0.48,0.48,0,0.39,0.21,0.13,0.13,0.14,0.27,0.39,0.16,0.29,0.59,0.36,0.43,0.61,0.54,0.59,0.64,0.64,0.61,0.59,0.45,0.55,0.43,0.48,0.57,0,0.55,0.68,0.71,0.7,0.7,0.41,0,0,0,0,0,0,0,0.14,0,0.07,0.3,0.07,0.11,0.3,0.3,0.29,0,0.13,0.18,0.45,0.3,0.45,0,0.25,0.41,0,0,0.21,0.43,0,0.55,0.62,0,0,0,0,0.51,0.24,0.36,0.35,0.35,0.33,0.35,0.16,0.24,0.85,0.46,0.67,0.7,0.59,0,0.12,0.31,0.25,0,0.56,0.16,0.81,0.86,0.82,0,0.27,0.16,0.2
"Mathematical Science Teachers, Postsecondary",0.57,0.7,0.7,0.32,0.63,0.68,0.59,0.59,0.61,0.57,0.52,0.09,0.11,0.3,0.46,0.43,0.61,0.37,0.39,0.43,0.46,0.48,0.41,0.45,0,0.07,0.09,0,0,0.13,0,0,0,0,0.25,0.37,0.39,0.46,0.48,0.5,0.59,0.59,0.46,0.5,0.3,0.36,0.32,0.66,0.68,0,0.3,0.64,0.7,0.71,0.63,0.43,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.09,0,0,0.09,0,0.7,0.14,0.46,0,0.07,0.3,0,0,0.05,0.13,0,0.55,0.63,0.12,0.16,0.25,0,0.36,0,0.44,0.41,0.37,0.15,0.28,0.14,0,0.21,0,0.23,0.61,0.74,0.2,0.13,0.22,0.16,0,0,0,0.2,0.93,0.39,0.21,0.19,0.37,0.13
"Mathematicians",0.59,0.86,0.71,0.66,0.61,0.64,0.75,0.73,0.54,0.43,0.7,0.11,0.11,0.25,0.39,0.39,0.54,0.25,0.36,0.25,0.39,0.61,0.55,0.5,0,0.07,0.11,0,0,0.37,0,0.11,0,0,0.37,0.29,0.43,0.57,0.68,0.7,0.75,0.71,0.59,0.68,0.43,0.5,0.52,0.75,0.86,0,0.43,0.68,0.71,0.77,0.71,0.41,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0.25,0,0,0.05,0,0.43,0.11,0.43,0,0.13,0.29,0,0,0.09,0.14,0,0.55,0.64,0.11,0.35,0,0,0.39,0.24,0.27,0.22,0.17,0.18,0.26,0.19,0,0.52,0.13,0.29,0.7,0.68,0,0.1,0.15,0.17,0,0,0,0.27,0.98,0.55,0.14,0.33,0.17,0.16
"Meat, Poultry, and Fish Cutters and Trimmers",0.32,0.27,0.32,0,0.37,0.3,0.32,0.41,0.32,0.37,0.3,0.13,0.14,0.32,0.3,0.34,0.3,0.3,0.3,0.34,0.34,0.3,0.16,0.16,0,0.3,0,0.2,0.18,0,0.29,0.34,0.18,0.3,0,0.3,0.32,0.39,0.3,0.3,0.39,0.32,0.39,0.39,0.3,0.32,0.23,0.3,0.21,0.11,0.32,0.3,0.43,0.43,0.41,0.29,0,0.23,0.36,0.3,0.16,0.32,0.32,0.45,0.3,0.27,0.43,0.36,0.34,0.46,0.41,0.39,0.21,0.32,0.34,0.39,0.32,0.43,0.11,0.32,0.36,0.09,0.13,0.3,0.34,0.11,0.46,0.42,0,0.29,0,0,0.5,0.41,0.49,0.49,0.46,0.43,0,0,0.42,0.38,0.59,0,0.41,0.41,0.29,0.49,0.48,0.37,0.73,0.65,0,0.51,0.59,0,0,0.44,0.28,0.49
"Mechanical Door Repairs",0.43,0.36,0.41,0,0.43,0.41,0.32,0.43,0.3,0.43,0.41,0.14,0.21,0.32,0.41,0.41,0.37,0.32,0.39,0.41,0.41,0.37,0.29,0.3,0.39,0.46,0.21,0.36,0.41,0,0.43,0.41,0.39,0.39,0.16,0.34,0.39,0.43,0.3,0.3,0.43,0.43,0.41,0.41,0.37,0.37,0.39,0.29,0.3,0.3,0.52,0.39,0.45,0.45,0.41,0.3,0,0.41,0.54,0.41,0.2,0.52,0.39,0.46,0.36,0.29,0.45,0.43,0.27,0.45,0.45,0.46,0.29,0.29,0.41,0.43,0.3,0.41,0.29,0.37,0.41,0.29,0.25,0.39,0.45,0.2,0.48,0.44,0,0,0,0,0.33,0.08,0.59,0.19,0,0.3,0.11,0.12,0.63,0.51,0.67,0.45,0.36,0.39,0,0,0.41,0.19,0,0.32,0,0,0.47,0.34,0,0,0.1,0.26
"Mechanical Drafters",0.5,0.55,0.55,0.25,0.54,0.45,0.52,0.46,0.41,0.45,0.45,0.16,0.18,0.34,0.43,0.43,0.45,0.32,0.32,0.34,0.43,0.43,0.41,0.43,0,0.45,0.39,0,0,0.32,0.27,0.32,0,0.07,0.45,0.32,0.46,0.5,0.46,0.48,0.52,0.5,0.5,0.54,0.43,0.52,0.39,0.48,0.52,0,0.57,0.46,0.55,0.55,0.54,0.25,0,0,0,0,0,0,0,0.11,0,0,0.39,0,0,0.34,0.46,0.27,0,0.11,0,0.43,0.29,0.43,0,0.29,0.43,0,0,0.27,0.43,0,0.57,0.59,0,0.06,0,0,0.44,0.13,0.42,0.24,0.54,0.27,0.31,0.13,0.36,0.8,0.73,0.87,0.7,0.57,0,0,0.42,0.19,0,0.5,0.21,0.32,0.69,0.67,0,0,0.12,0.24
"Mechanical Engineering Technologists and Technicians",0.52,0.48,0.59,0.43,0.5,0.5,0.46,0.54,0.45,0.48,0.46,0.13,0.13,0.39,0.45,0.46,0.43,0.34,0.39,0.39,0.43,0.46,0.43,0.45,0,0.48,0.3,0.36,0.37,0.18,0.45,0.46,0.39,0.45,0.41,0.36,0.45,0.57,0.46,0.46,0.59,0.54,0.59,0.55,0.48,0.46,0.37,0.52,0.48,0.21,0.5,0.54,0.57,0.59,0.59,0.36,0,0.16,0.36,0.3,0.09,0.3,0.21,0.36,0.25,0.37,0.46,0.45,0.29,0.43,0.43,0.41,0.2,0.29,0.43,0.46,0.37,0.5,0.16,0.36,0.45,0.18,0.2,0.34,0.43,0.14,0.57,0.52,0.1,0.09,0,0,0.46,0.25,0.42,0.19,0.48,0.11,0.22,0.18,0.31,0.73,0.73,0.73,0.61,0.46,0,0.1,0.38,0.41,0,0.44,0.16,0.41,0.63,0.58,0,0,0.16,0.23
"Mechanical Engineers",0.57,0.7,0.7,0.66,0.55,0.57,0.63,0.61,0.5,0.61,0.68,0.39,0.41,0.45,0.52,0.5,0.52,0.43,0.5,0.41,0.41,0.59,0.55,0.55,0.37,0.57,0.54,0.37,0.23,0.34,0.52,0.54,0.25,0.34,0.66,0.39,0.5,0.59,0.55,0.57,0.7,0.59,0.59,0.63,0.48,0.48,0.43,0.61,0.68,0.05,0.55,0.59,0.7,0.7,0.68,0.37,0,0,0,0,0,0,0,0.14,0,0,0,0,0.05,0.25,0.32,0.14,0,0.09,0.3,0.48,0.37,0.54,0,0.39,0.46,0,0,0.34,0.41,0,0.57,0.57,0,0,0,0,0.57,0.25,0.48,0.35,0.51,0.33,0.25,0.37,0.36,0.87,0.78,0.84,0.67,0.51,0,0.23,0.35,0.32,0,0.49,0.21,0.56,0.79,0.73,0,0.2,0,0.28
"Mechatronics Engineers",0.54,0.55,0.57,0,0.54,0.54,0.55,0.59,0.48,0.54,0.59,0,0,0.46,0.54,0.46,0.43,0.41,0.43,0.41,0.45,0.57,0.55,0.54,0,0,0,0,0,0,0,0.5,0,0.43,0,0.39,0.45,0.61,0.5,0.57,0.64,0.63,0.46,0.52,0.39,0.41,0.37,0.48,0.55,0,0.52,0.63,0.63,0.64,0.63,0.37,0,0,0,0,0,0,0,0,0,0.2,0.29,0.21,0.2,0.29,0.32,0.11,0,0.16,0.2,0.43,0.39,0.5,0,0.37,0.43,0,0,0.36,0.39,0,0.52,0.56,0,0,0,0,0.52,0.3,0.35,0.39,0.4,0.33,0.24,0.25,0.33,0.88,0.75,0.84,0.76,0.37,0,0,0.26,0.28,0,0.68,0,0.5,0.73,0.67,0,0,0.32,0.3
"Media Programming Directors",0.57,0.34,0.57,0.09,0.57,0.57,0.55,0.57,0.46,0.54,0.54,0.43,0.45,0.55,0.55,0.57,0.5,0.48,0.46,0.45,0.55,0.55,0.5,0.52,0,0.18,0.09,0,0,0.05,0.07,0.32,0,0.29,0.45,0.43,0.45,0.57,0.5,0.55,0.57,0.57,0.55,0.55,0.32,0.39,0.39,0.41,0.41,0,0.41,0.57,0.57,0.57,0.57,0.43,0,0,0,0,0,0,0,0,0,0.11,0.3,0.14,0.07,0.29,0.32,0.2,0.11,0.11,0.13,0.55,0.32,0.5,0,0.18,0.43,0,0,0.16,0.3,0,0.59,0.72,0.25,0.1,0.3,0.27,0.6,0.34,0.69,0.61,0.69,0.46,0.72,0.57,0,0.33,0.17,0,0.68,0.6,0.16,0,0.35,0.44,0,0.37,0.31,0,0.44,0,0.23,0,0.36,0.23
"Media Technical Directors/Managers",0.57,0.32,0.57,0,0.57,0.5,0.52,0.57,0.5,0.66,0.52,0.21,0.29,0.5,0.54,0.57,0.52,0.43,0.46,0.41,0.52,0.52,0.54,0.46,0,0.45,0.23,0.39,0.29,0.16,0.29,0.46,0.21,0.43,0.27,0.45,0.54,0.57,0.55,0.54,0.57,0.54,0.48,0.52,0.45,0.46,0.45,0.3,0.29,0.09,0.54,0.54,0.61,0.59,0.55,0.37,0,0,0.13,0,0,0.11,0.09,0.16,0.07,0.29,0.37,0.29,0.2,0.34,0.36,0.32,0,0.16,0.25,0.55,0.41,0.55,0.11,0.32,0.57,0,0,0.32,0.55,0,0.57,0.6,0.17,0,0,0,0.55,0.07,0.48,0.24,0.4,0.22,0.79,0.51,0,0.52,0.18,0.33,0.74,0.37,0,0,0.24,0.3,0,0.42,0.42,0,0.38,0.09,0.24,0,0.23,0.24
"Medical Appliance Technicians",0.52,0.41,0.52,0.23,0.45,0.43,0.43,0.5,0.41,0.45,0.43,0.2,0.3,0.3,0.45,0.43,0.45,0.3,0.34,0.43,0.43,0.45,0.43,0.36,0.13,0.54,0.34,0.37,0.43,0.05,0.45,0.43,0.43,0.39,0.32,0.41,0.41,0.52,0.43,0.43,0.52,0.45,0.43,0.45,0.37,0.43,0.32,0.41,0.39,0,0.54,0.43,0.57,0.55,0.45,0.32,0,0.23,0.3,0.27,0.16,0.37,0.3,0.36,0.25,0.3,0.52,0.41,0.27,0.5,0.52,0.46,0,0.34,0.39,0.45,0.41,0.48,0,0.43,0.41,0,0,0.43,0.48,0,0.57,0.56,0,0.27,0.16,0.19,0.46,0.22,0.6,0.34,0.45,0.32,0.29,0.22,0.45,0.47,0.55,0.54,0.43,0.51,0.34,0.4,0.38,0.31,0,0.61,0.15,0.44,0.45,0.5,0.16,0.29,0.3,0.24
"Medical Assistants",0.55,0.37,0.57,0.32,0.57,0.46,0.48,0.52,0.45,0.5,0.41,0.16,0.2,0.32,0.41,0.45,0.43,0.34,0.41,0.46,0.55,0.43,0.34,0.34,0,0.25,0.09,0.14,0.07,0.09,0.2,0.32,0.11,0.18,0.11,0.43,0.41,0.54,0.41,0.39,0.5,0.46,0.45,0.45,0.41,0.45,0.37,0.43,0.39,0.09,0.3,0.52,0.57,0.59,0.54,0.39,0,0.11,0.25,0.23,0,0.3,0.18,0.32,0.27,0.2,0.32,0.3,0.11,0.43,0.43,0.32,0.09,0.18,0.16,0.45,0.3,0.46,0,0.29,0.41,0,0,0.2,0.41,0.05,0.55,0.57,0,0.26,0,0,0.39,0.29,0.82,0.32,0.65,0.25,0.23,0,0,0,0,0,0.62,0.51,0.44,0.54,0.35,0.29,0,0,0,0.24,0.26,0,0.23,0.34,0.48,0
"Medical Equipment Preparers",0.43,0.32,0.41,0.14,0.39,0.39,0.43,0.41,0.37,0.43,0.36,0.13,0.29,0.23,0.39,0.41,0.32,0.2,0.23,0.36,0.37,0.39,0.3,0.29,0.3,0.45,0.07,0.29,0.37,0.11,0.37,0.43,0.34,0.37,0.05,0.39,0.41,0.45,0.29,0.29,0.45,0.37,0.43,0.43,0.45,0.41,0.29,0.29,0.27,0.23,0.46,0.36,0.45,0.54,0.45,0.29,0,0.11,0.37,0.29,0,0.43,0.29,0.43,0.3,0.27,0.43,0.37,0.29,0.45,0.46,0.43,0.3,0.3,0.34,0.39,0.37,0.41,0.18,0.36,0.41,0.11,0.11,0.25,0.43,0.11,0.55,0.57,0,0,0,0,0.29,0,0.79,0.21,0.43,0,0.27,0.27,0,0.25,0.39,0,0.41,0.35,0.13,0.36,0.42,0.24,0,0.47,0,0.39,0.36,0.17,0,0.53,0.23,0.17
"Medical Equipment Repairers",0.41,0.45,0.54,0.32,0.41,0.41,0.46,0.52,0.41,0.46,0.45,0.21,0.3,0.39,0.39,0.41,0.45,0.36,0.39,0.41,0.39,0.45,0.43,0.45,0.29,0.52,0.29,0.45,0.57,0.09,0.57,0.52,0.57,0.43,0.3,0.29,0.43,0.48,0.43,0.43,0.5,0.48,0.46,0.55,0.46,0.48,0.43,0.43,0.43,0.18,0.57,0.43,0.52,0.55,0.55,0.41,0,0.13,0.41,0.21,0,0.29,0.25,0.36,0.23,0.34,0.46,0.39,0.21,0.43,0.57,0.48,0.21,0.27,0.32,0.39,0.3,0.41,0.14,0.43,0.45,0.18,0.11,0.3,0.48,0.09,0.57,0.47,0,0,0.18,0,0.51,0.22,0.53,0.28,0.43,0.16,0.26,0.3,0.36,0.57,0.74,0.43,0.66,0.64,0,0.22,0.38,0.22,0,0.51,0.17,0.41,0.36,0.44,0.19,0.34,0.26,0.21
